OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
CEDEN,California State Water Resources Control Board,CEDEN-SA00000_KHSA,Salmon River near mouth (Baseline),River/Stream,,18010210,,,,,41.3773,-123.477,,,,Unknown,WGS84,,,,,,,US,06,093,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-SA00101,Salmon River near mouth,River/Stream,,18010210,,,,,41.3767,-123.476,,,,Unknown,WGS84,,,,,,,US,06,093,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-SC00000_KHSA,Scott River near mouth (Baseline),River/Stream,,18010208,,,,,41.7666,-123.024,,,,Unknown,WGS84,,,,,,,US,06,093,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-SC00150,Scott River near mouth,River/Stream,,18010208,,,,,41.7658,-123.021,,,,Unknown,WGS84,,,,,,,US,06,093,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-SH00000_KHSA,Shasta River near mouth (Baseline),River/Stream,,18010207,,,,,41.823,-122.595,,,,Unknown,WGS84,,,,,,,US,06,093,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-SH00050,Shasta River near mouth,River/Stream,,18010207,,,,,41.825,-122.593,,,,Unknown,WGS84,,,,,,,US,06,093,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-TR00000_KHSA,Trinity River near mouth (Baseline),River/Stream,,18010211,,,,,41.1846,-123.707,,,,Unknown,WGS84,,,,,,,US,06,023,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-TR00050,Trinity River near mouth,River/Stream,,18010211,,,,,41.1817,-123.704,,,,Unknown,WGS84,,,,,,,US,06,023,,,,,,,,,STORET
KARUKDNR_WQX,Karuk Tribe,KARUKDNR_WQX-HC,Happy Camp,River/Stream Perennial,,18010209,,,,,41.729667,-123.429583,1,,,GPS-Unspecified,WGS84,,,,,,,,,,,,,,,,,,STORET
KARUKDNR_WQX,Karuk Tribe,KARUKDNR_WQX-OR,Orleans,River/Stream,,18010209,,,,,41.303611,-123.533333,1,,,GPS-Unspecified,NAD27,,,,,,,,,,,,,,,,,,STORET
KARUKDNR_WQX,Karuk Tribe,KARUKDNR_WQX-SA,Salmon River,River/Stream,,18010210,,,,,41.376944,-123.477222,1,,,GPS-Unspecified,NAD27,,,,,,,,,,,,,,,,,,STORET
KARUKDNR_WQX,Karuk Tribe,KARUKDNR_WQX-SC,Scott River,River/Stream,,18010208,,,,,41.768333,-123.026111,1,,,GPS-Unspecified,NAD27,,,,,,,,,,,,,,,,,,STORET
KARUKDNR_WQX,Karuk Tribe,KARUKDNR_WQX-SH,Shasta River,River/Stream,,18010207,,,,,41.823056,-122.594444,1,,,GPS-Unspecified,NAD27,,,,,,,,,,,,,,,,,,STORET
KARUKDNR_WQX,Karuk Tribe,KARUKDNR_WQX-SV,Seiad Valley,River/Stream,,18010206,,,,,41.853889,-123.231111,1,,,GPS-Unspecified,NAD27,,,,,,,,,,,,,,,,,,STORET
KARUKDNR_WQX,Karuk Tribe,KARUKDNR_WQX-WA,Walker Bridge,River/Stream Perennial,,18010206,,,,,41.837367,-122.864917,1,,,GPS-Unspecified,WGS84,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KL0001,UPPER KLAMATH LAKE AT FREMONT BRIDGE,Lake,,18010203,,,,,42.23861,-121.80588,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KL0002,UPPER KLAMATH LAKE AT PELICAN MARINA,Lake,,18010203,,,,,42.241722,-121.822306,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KL0003,UPPER KLAMATH LAKE AT NORTH BUCK ISLAND,Lake,,18010203,,,,,42.308389,-121.856222,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KL0004,UPPER KLAMATH LAKE AT WOCUS BAY,Lake,,18010203,,,,,42.32689,-121.919922,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KL0005,UPPER KLAMATH LAKE AT MIDDLE LAKE,Lake,,18010203,,,,,42.369083,-121.848694,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KL0006,UPPER KLAMATH LAKE AT EAGLE RIDGE,Lake,,18010203,,,,,42.422083,-121.943278,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KL0007,UPPER KLAMATH LAKE AT SHOAL WATER BAY,Lake,,18010203,,,,,42.40725,-121.963083,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KL0008,UPPER KLAMATH LAKE AT MIDDLE LAKE NORTH,Lake,,18010203,,,,,42.441361,-121.998833,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KL0009,UPPER KLAMATH LAKE AT COON POINT,Lake,,18010203,,,,,42.435722,-122.028194,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KL0010,AGENCY LAKE SOUTH,Lake,,18010203,,,,,42.523583,-121.984278,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KL0011,AGENCY LAKE NORTH,Lake,,18010203,,,,,42.560556,-121.947444,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-SR0040,NORTH FORK SPRAGUE RIVER AT FS 3411 ROAD,River/Stream,,18010202,,,,,42.49672,-121.005556,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-SR0050,SOUTH FORK SPRAGUE RIVER AT PICNIC AREA,River/Stream,,18010202,,,,,42.376056,-120.969444,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-SR0060,SPRAGUE RIVER AT GODOWA ROAD,River/Stream,,18010202,,,,,42.460389,-121.269861,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-SR0070,SYCAN RIVER AT DREWS ROAD,River/Stream,,18010202,,,,,42.48522,-121.27843,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-SR0080,SPRAGUE RIVER AT LONE PINE,River/Stream,,18010202,,,,,42.5505,-121.617611,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-SR0090,SPRAGUE RIVER AT POWER PLANT,River/Stream,,18010202,,,,,42.584639,-121.841861,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-SR0140,NORTH FORK SPRAGUE RIVER AT IVORY PINE ROAD,River/Stream,,18010202,,,,,42.456306,-121.111667,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-SR0150,SOUTH FORK SPRAGUE RIVER AT IVORY PINE ROAD,River/Stream,,18010202,,,,,42.43941,-121.09544,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-WR1000,SPRAGUE RIVER AT KIRCHERS BRIDGE,River/Stream,,18010202,,,,,42.567806,-121.864472,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-WR2000,ANNIE CREEK AT SNOW PARK,River/Stream,,18010203,,,,,42.768444,-122.059471,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-WR3000,WOOD RIVER AT WEED ROAD,River/Stream,,18010203,,,,,42.646611,-121.993833,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-WR4000,WOOD RIVER AT DIKE ROAD,River/Stream,,18010203,,,,,42.581583,-121.940389,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-WR5000,7-MILE CANAL AT DIKE ROAD,River/Stream,,18010203,,,,,42.581928,-121.970969,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-WR6000,WILLIAMSON RIVER AT MODOC POINT ROAD,River/Stream,,18010201,,,,,42.514528,-121.915806,1,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
OREGONDEQ,State of Oregon Dept. of Environmental Quality,OREGONDEQ-10759-ORDEQ,Lost River at Hwy 39 (Merrill),River/Stream,,18010204,,,,,42.040417,-121.622667,,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
OREGONDEQ,State of Oregon Dept. of Environmental Quality,OREGONDEQ-10763-ORDEQ,Klamath Strait at USBR Pump Station F,River/Stream,/CANAL/TYPA/AMBNT/NET/BACK,18010204,,,,,42.07999454,-121.8430807,24000,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
OREGONDEQ,State of Oregon Dept. of Environmental Quality,OREGONDEQ-10764-ORDEQ,Klamath River downstream of Big Bend Powerhouse,River/Stream,,18010206,,,,,42.086917,-122.059917,,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
OREGONDEQ,State of Oregon Dept. of Environmental Quality,OREGONDEQ-10765-ORDEQ,Klamath River at Hwy 66 (Keno),River/Stream,,18010204,,,,,42.128056,-121.927778,,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
OREGONDEQ,State of Oregon Dept. of Environmental Quality,OREGONDEQ-10768-ORDEQ,Link River at mouth (Klamath Falls),River/Stream,,18010204,,,,,42.218778,-121.788361,,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
OREGONDEQ,State of Oregon Dept. of Environmental Quality,OREGONDEQ-10770-ORDEQ,Williamson River at Williamson River Store,River/Stream,,18010201,,,,,42.514611,-121.916194,,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
OREGONDEQ,State of Oregon Dept. of Environmental Quality,OREGONDEQ-21535-ORDEQ,Sprague River at Sprague River Road & River Crest Road,River/Stream,,18010202,,,,,42.462,-121.500333,,,,GPS-Unspecified,NAD83,,,,,,,US,41,035,,,,,,,,,STORET
QVIR,Quartz Valley Indian Community of the Quartz Valley Reservation of California,QVIR-MICR,Mill Creek,River/Stream,,18010208,,,,,41.592962,-122.9898,,,,GPS-Unspecified,WGS84,,,,,,,US,06,093,,,,,,,,,STORET
QVIR,Quartz Valley Indian Community of the Quartz Valley Reservation of California,QVIR-SCJB,"Scott River at Jones Beach, 96032",River/Stream Perennial,,18010205,,,,,41.6399,-122.0609,,,,GPS-Unspecified,WGS84,,,,,,,US,06,093,,,,,,,,,STORET
QVIR,Quartz Valley Indian Community of the Quartz Valley Reservation of California,QVIR-SHFL,Shackleford Falls,River/Stream,,18010208,,,,,41.590555,-123.0008,,,,GPS-Unspecified,WGS84,,,,,,,US,06,093,,,,,,,,,STORET
QVIR,Quartz Valley Indian Community of the Quartz Valley Reservation of California,QVIR-SHMI,Shackleford Mill Creek,River/Stream,,18010208,,,,,41.624186,-122.9655,,,,GPS-Unspecified,WGS84,,,,,,,US,06,093,,,,,,,,,STORET
QVIR,Quartz Valley Indian Community of the Quartz Valley Reservation of California,QVIR-SNCR,Sniktaw Creek,River/Stream,,18010208,,,,,41.614732,-122.9815,,,,GPS-Unspecified,WGS84,,,,,,,US,06,093,,,,,,,,,STORET
QVIR,Quartz Valley Indian Community of the Quartz Valley Reservation of California,QVIR-SREF,Scott River East Fork,River/Stream,,18010208,,,,,41.306642,-122.7974,,,,GPS-Unspecified,WGS84,,,,,,,US,06,093,,,,,,,,,STORET
QVIR,Quartz Valley Indian Community of the Quartz Valley Reservation of California,QVIR-SRES,Shackleford Creek at Reservation,River/Stream,,18010208,,,,,41.593333,-122.975,,,,GPS-Unspecified,WGS84,,,,,,,US,06,093,,,,,,,,,STORET
QVIR,Quartz Valley Indian Community of the Quartz Valley Reservation of California,QVIR-SRGA,Scott River Gaging Station,River/Stream,,18010208,,,,,41.64,-123.0138,,,,GPS-Unspecified,WGS84,,,,,,,US,06,093,,,,,,,,,STORET
QVIR,Quartz Valley Indian Community of the Quartz Valley Reservation of California,QVIR-SRJB,Scott River Jones Beach,River/Stream,,18010208,,,,,41.639444,-123.0591,,,,GPS-Unspecified,WGS84,,,,,,,US,06,093,,,,,,,,,STORET
QVIR,Quartz Valley Indian Community of the Quartz Valley Reservation of California,QVIR-SRSF,Scott River South Fork,River/Stream,,18010208,,,,,41.295694,-122.809,,,,GPS-Unspecified,WGS84,,,,,,,US,06,093,,,,,,,,,STORET
QVIR,Quartz Valley Indian Community of the Quartz Valley Reservation of California,QVIR-UPSN,Upper Sniktaw,River/Stream,,18010208,,,,,41.35853,-122.5977,,,,GPS-Unspecified,WGS84,,,,,,,US,06,093,,,,,,,,,STORET
RREPA_WQX,"Resighini Rancheria, California",RREPA_WQX-S-1,Waukell Creek,River/Stream Perennial,Waukell Creek near Hwy 101 on Klamath Beach Road,18010209,,,,,41.511,-124.0277,,,,GPS-Unspecified,NAD83,,,,,,,US,06,015,,,,,,,,,STORET
YUROKTEP_WQX,"Yurok Tribe of the Yurok Reservation, California",YUROKTEP_WQX-KBW,Klamath River below Weitchpec,River/Stream,,18010209,,,,,41.1925,-123.7178,1,,,GPS-Unspecified,NAD27,,,,,,,,,,,,,,,,,,STORET
YUROKTEP_WQX,"Yurok Tribe of the Yurok Reservation, California",YUROKTEP_WQX-LES,Lower Estuary Surface,Estuary,,18010209,,,,,41.5461,-124.0725,1,,,GPS-Unspecified,NAD27,,,,,,,,,,,,,,,,,,STORET
YUROKTEP_WQX,"Yurok Tribe of the Yurok Reservation, California",YUROKTEP_WQX-TC,Klamath River above Tully Creek,River/Stream,,18010209,,,,,41.2266,-123.7719,1,,,GPS-Unspecified,NAD27,,,,,,,,,,,,,,,,,,STORET
YUROKTEP_WQX,"Yurok Tribe of the Yurok Reservation, California",YUROKTEP_WQX-TG,Klamath River at Turwar Gage,River/Stream,,18010209,,,,,41.5161,-123.9992,1,,,GPS-Unspecified,NAD27,,,,,,,,,,,,,,,,,,STORET
YUROKTEP_WQX,"Yurok Tribe of the Yurok Reservation, California",YUROKTEP_WQX-TR,Trinity River above Klamath River,River/Stream,,18010211,,,,,41.1844,-123.7053,1,,,GPS-Unspecified,NAD27,,,,,,,,,,,,,,,,,,STORET
YUROKTEP_WQX,"Yurok Tribe of the Yurok Reservation, California",YUROKTEP_WQX-WE,Klamath River above Trinity River,River/Stream,,18010209,,,,,41.1883,-123.7055,1,,,GPS-Unspecified,NAD27,,,,,,,,,,,,,,,,,,STORET
